Year,Installation,Source,PLOT,TREE,Seedlot,Replication,Metric,Management,Defect,Value
2022,HOODOO,Woods run,1,22,2193-16,R3,CALIPER GROWTH (MM),None,None,0.9
2022,HOODOO,Woods run,1,39,2193-16,R4,CALIPER GROWTH (MM),None,None,1.7
2022,HOODOO,Woods run,1,42,2193-16,R5,CALIPER GROWTH (MM),None,None,2.5
2022,HOODOO,Woods run,1,59,2193-16,R6,CALIPER GROWTH (MM),None,None,3.2
2022,HOODOO,Woods run,1,62,2193-16,R7,CALIPER GROWTH (MM),None,None,1.7
2022,HOODOO,Woods run,1,79,2193-16,R8,CALIPER GROWTH (MM),None,None,1.5
2022,HOODOO,Woods run,1,82,2193-16,R9,CALIPER GROWTH (MM),None,None,2.3
2022,HOODOO,Woods run,1,99,2193-16,R10,CALIPER GROWTH (MM),None,None,1.7
2022,HOODOO,Woods run,1,4,2N39E30,R1,CALIPER GROWTH (MM),None,None,0.6
2022,HOODOO,Woods run,1,17,2N39E30,R2,CALIPER GROWTH (MM),None,None,3.2
2022,HOODOO,Woods run,1,24,2N39E30,R3,CALIPER GROWTH (MM),None,None,1.4
2022,HOODOO,Woods run,1,37,2N39E30,R4,CALIPER GROWTH (MM),None,None,2.8
2022,HOODOO,Woods run,1,44,2N39E30,R5,CALIPER GROWTH (MM),None,None,0.3
2022,HOODOO,Woods run,1,57,2N39E30,R6,CALIPER GROWTH (MM),None,None,2.3
2022,HOODOO,Woods run,1,64,2N39E30,R7,CALIPER GROWTH (MM),None,None,1.3
2022,HOODOO,Woods run,1,77,2N39E30,R8,CALIPER GROWTH (MM),None,None,1.1
2022,HOODOO,Woods run,1,84,2N39E30,R9,CALIPER GROWTH (MM),None,None,3.1
2022,HOODOO,Woods run,1,97,2N39E30,R10,CALIPER GROWTH (MM),None,None,2.2
2022,HOODOO,Woods run,1,8,34-78,R1,CALIPER GROWTH (MM),None,None,0.5
2022,HOODOO,Woods run,1,13,34-78,R2,CALIPER GROWTH (MM),None,None,1.4
2022,HOODOO,Woods run,1,28,34-78,R3,CALIPER GROWTH (MM),None,None,1
2022,HOODOO,Woods run,1,33,34-78,R4,CALIPER GROWTH (MM),None,None,2
2022,HOODOO,Woods run,1,48,34-78,R5,CALIPER GROWTH (MM),None,None,1.4
2022,HOODOO,Woods run,1,53,34-78,R6,CALIPER GROWTH (MM),None,None,0.6
2022,HOODOO,Woods run,1,68,34-78,R7,CALIPER GROWTH (MM),None,None,1.5
2022,HOODOO,Woods run,1,73,34-78,R8,CALIPER GROWTH (MM),None,None,0.9
2022,HOODOO,Woods run,1,88,34-78,R9,CALIPER GROWTH (MM),None,None,2.2
2022,HOODOO,Woods run,1,93,34-78,R10,CALIPER GROWTH (MM),None,None,1.7
2022,HOODOO,Woods run,1,1,3N41E36,R1,CALIPER GROWTH (MM),None,None,1.6
2022,HOODOO,Woods run,1,20,3N41E36,R2,CALIPER GROWTH (MM),None,None,2.5
2022,HOODOO,Woods run,1,21,3N41E36,R3,CALIPER GROWTH (MM),None,None,1.2
2022,HOODOO,Woods run,1,40,3N41E36,R4,CALIPER GROWTH (MM),None,None,1.9
2022,HOODOO,Woods run,1,41,3N41E36,R5,CALIPER GROWTH (MM),None,None,2.1
2022,HOODOO,Woods run,1,60,3N41E36,R6,CALIPER GROWTH (MM),None,None,3.3
2022,HOODOO,Woods run,1,61,3N41E36,R7,CALIPER GROWTH (MM),None,None,1.9
2022,HOODOO,Woods run,1,80,3N41E36,R8,CALIPER GROWTH (MM),None,None,2.5
2022,HOODOO,Woods run,1,81,3N41E36,R9,CALIPER GROWTH (MM),None,None,0.4
2022,HOODOO,Woods run,1,100,3N41E36,R10,CALIPER GROWTH (MM),Major,Rodent,1.4
2022,HOODOO,Woods run,1,5,97-61,R1,CALIPER GROWTH (MM),None,None,1.4
2022,HOODOO,Woods run,1,16,97-61,R2,CALIPER GROWTH (MM),None,None,1.4
2022,HOODOO,Woods run,1,25,97-61,R3,CALIPER GROWTH (MM),None,None,1.6
2022,HOODOO,Woods run,1,36,97-61,R4,CALIPER GROWTH (MM),None,None,3.3
2022,HOODOO,Woods run,1,45,97-61,R5,CALIPER GROWTH (MM),None,None,1.7
2022,HOODOO,Woods run,1,56,97-61,R6,CALIPER GROWTH (MM),None,None,2.1
2022,HOODOO,Woods run,1,65,97-61,R7,CALIPER GROWTH (MM),None,None,0.8
2022,HOODOO,Woods run,1,76,97-61,R8,CALIPER GROWTH (MM),None,None,1.4
2022,HOODOO,Woods run,1,85,97-61,R9,CALIPER GROWTH (MM),None,None,1.4
2022,HOODOO,Woods run,1,96,97-61,R10,CALIPER GROWTH (MM),None,None,1.4
2022,HOODOO,Woods run,1,3,97-72,R1,CALIPER GROWTH (MM),None,None,1.4
2022,HOODOO,Woods run,1,18,97-72,R2,CALIPER GROWTH (MM),None,None,2.1
2022,HOODOO,Woods run,1,23,97-72,R3,CALIPER GROWTH (MM),None,None,2.8
2022,HOODOO,Woods run,1,38,97-72,R4,CALIPER GROWTH (MM),None,None,4.8
2022,HOODOO,Woods run,1,43,97-72,R5,CALIPER GROWTH (MM),None,None,1.9
2022,HOODOO,Woods run,1,58,97-72,R6,CALIPER GROWTH (MM),None,None,2.6
2022,HOODOO,Woods run,1,63,97-72,R7,CALIPER GROWTH (MM),None,None,1.9
2022,HOODOO,Woods run,1,78,97-72,R8,CALIPER GROWTH (MM),None,None,1
2022,HOODOO,Woods run,1,83,97-72,R9,CALIPER GROWTH (MM),None,None,2.3
2022,HOODOO,Woods run,1,98,97-72,R10,CALIPER GROWTH (MM),None,None,2.3
2022,HOODOO,Woods run,1,10,HANGMAN,R1,CALIPER GROWTH (MM),None,None,1.1
2022,HOODOO,Woods run,1,11,HANGMAN,R2,CALIPER GROWTH (MM),None,None,2.2
2022,HOODOO,Woods run,1,30,HANGMAN,R3,CALIPER GROWTH (MM),None,None,1.8
2022,HOODOO,Woods run,1,31,HANGMAN,R4,CALIPER GROWTH (MM),None,None,0.7
2022,HOODOO,Woods run,1,50,HANGMAN,R5,CALIPER GROWTH (MM),None,None,1.5
2022,HOODOO,Woods run,1,51,HANGMAN,R6,CALIPER GROWTH (MM),None,None,2
2022,HOODOO,Woods run,1,70,HANGMAN,R7,CALIPER GROWTH (MM),None,None,1
2022,HOODOO,Woods run,1,71,HANGMAN,R8,CALIPER GROWTH (MM),None,None,1.7
2022,HOODOO,Woods run,1,90,HANGMAN,R9,CALIPER GROWTH (MM),None,None,2
2022,HOODOO,Woods run,1,91,HANGMAN,R10,CALIPER GROWTH (MM),None,None,1.6
2022,HOODOO,Woods run,1,7,S028,R1,CALIPER GROWTH (MM),None,None,1.4
2022,HOODOO,Woods run,1,14,S028,R2,CALIPER GROWTH (MM),None,None,1
2022,HOODOO,Woods run,1,27,S028,R3,CALIPER GROWTH (MM),None,None,0.8
2022,HOODOO,Woods run,1,34,S028,R4,CALIPER GROWTH (MM),None,None,1.8
2022,HOODOO,Woods run,1,47,S028,R5,CALIPER GROWTH (MM),None,None,1
2022,HOODOO,Woods run,1,54,S028,R6,CALIPER GROWTH (MM),None,None,1.3
2022,HOODOO,Woods run,1,67,S028,R7,CALIPER GROWTH (MM),None,None,1.4
2022,HOODOO,Woods run,1,74,S028,R8,CALIPER GROWTH (MM),None,None,0.9
2022,HOODOO,Woods run,1,87,S028,R9,CALIPER GROWTH (MM),None,None,1.9
2022,HOODOO,Woods run,1,94,S028,R10,CALIPER GROWTH (MM),None,None,1.7
2022,HOODOO,Woods run,2,104,1333,R1,CALIPER GROWTH (MM),None,None,1.8
2022,HOODOO,Woods run,2,117,1333,R2,CALIPER GROWTH (MM),None,None,2.1
2022,HOODOO,Woods run,2,124,1333,R3,CALIPER GROWTH (MM),None,None,4.5
2022,HOODOO,Woods run,2,137,1333,R4,CALIPER GROWTH (MM),None,None,1
2022,HOODOO,Woods run,2,144,1333,R5,CALIPER GROWTH (MM),None,None,2.2
2022,HOODOO,Woods run,2,157,1333,R6,CALIPER GROWTH (MM),None,None,1.8
2022,HOODOO,Woods run,2,164,1333,R7,CALIPER GROWTH (MM),None,None,1.8
2022,HOODOO,Woods run,2,177,1333,R8,CALIPER GROWTH (MM),None,None,2.1
2022,HOODOO,Woods run,2,184,1333,R9,CALIPER GROWTH (MM),None,None,0.3
2022,HOODOO,Woods run,2,197,1333,R10,CALIPER GROWTH (MM),None,None,0.9
2022,HOODOO,Woods run,2,105,40089,R1,CALIPER GROWTH (MM),Major,Unhealthy,0.6
2022,HOODOO,Woods run,2,116,40089,R2,CALIPER GROWTH (MM),None,None,1.8
2022,HOODOO,Woods run,2,125,40089,R3,CALIPER GROWTH (MM),None,None,1.5
2022,HOODOO,Woods run,2,136,40089,R4,CALIPER GROWTH (MM),None,None,2
2022,HOODOO,Woods run,2,145,40089,R5,CALIPER GROWTH (MM),None,None,4.9
2022,HOODOO,Woods run,2,156,40089,R6,CALIPER GROWTH (MM),None,None,1.9
2022,HOODOO,Woods run,2,165,40089,R7,CALIPER GROWTH (MM),Major,Rodent,1.1
2022,HOODOO,Woods run,2,176,40089,R8,CALIPER GROWTH (MM),None,None,2
2022,HOODOO,Woods run,2,185,40089,R9,CALIPER GROWTH (MM),None,None,0.5
2022,HOODOO,Woods run,2,196,40089,R10,CALIPER GROWTH (MM),None,None,2.4
2022,HOODOO,Woods run,2,101,2193-16,R1,CALIPER GROWTH (MM),None,None,1
2022,HOODOO,Woods run,2,120,2193-16,R2,CALIPER GROWTH (MM),None,None,2.2
2022,HOODOO,Woods run,2,121,2193-16,R3,CALIPER GROWTH (MM),None,None,0.7
2022,HOODOO,Woods run,2,140,2193-16,R4,CALIPER GROWTH (MM),None,None,1.1
2022,HOODOO,Woods run,2,141,2193-16,R5,CALIPER GROWTH (MM),None,None,2.5
2022,HOODOO,Woods run,2,160,2193-16,R6,CALIPER GROWTH (MM),None,None,1.8
2022,HOODOO,Woods run,2,161,2193-16,R7,CALIPER GROWTH (MM),None,None,2.4
2022,HOODOO,Woods run,2,180,2193-16,R8,CALIPER GROWTH (MM),None,None,0.9
2022,HOODOO,Woods run,2,181,2193-16,R9,CALIPER GROWTH (MM),None,None,1.5
2022,HOODOO,Woods run,2,200,2193-16,R10,CALIPER GROWTH (MM),None,None,2.6
2022,HOODOO,Woods run,2,102,2N39E30,R1,CALIPER GROWTH (MM),None,None,2.8
2022,HOODOO,Woods run,2,119,2N39E30,R2,CALIPER GROWTH (MM),None,None,2
2022,HOODOO,Woods run,2,122,2N39E30,R3,CALIPER GROWTH (MM),None,None,2.5
2022,HOODOO,Woods run,2,139,2N39E30,R4,CALIPER GROWTH (MM),None,None,1.5
2022,HOODOO,Woods run,2,142,2N39E30,R5,CALIPER GROWTH (MM),None,None,3.3
2022,HOODOO,Woods run,2,159,2N39E30,R6,CALIPER GROWTH (MM),None,None,2.3
2022,HOODOO,Woods run,2,162,2N39E30,R7,CALIPER GROWTH (MM),None,None,4.1
2022,HOODOO,Woods run,2,179,2N39E30,R8,CALIPER GROWTH (MM),None,None,1.4
2022,HOODOO,Woods run,2,182,2N39E30,R9,CALIPER GROWTH (MM),Major,Rodent,0.9
2022,HOODOO,Woods run,2,199,2N39E30,R10,CALIPER GROWTH (MM),None,None,1.9
2022,HOODOO,Woods run,2,103,34-78,R1,CALIPER GROWTH (MM),None,None,1.9
2022,HOODOO,Woods run,2,118,34-78,R2,CALIPER GROWTH (MM),None,None,1.2
2022,HOODOO,Woods run,2,123,34-78,R3,CALIPER GROWTH (MM),None,None,1
2022,HOODOO,Woods run,2,138,34-78,R4,CALIPER GROWTH (MM),None,None,2.2
2022,HOODOO,Woods run,2,143,34-78,R5,CALIPER GROWTH (MM),Major,Unhealthy,0.9
2022,HOODOO,Woods run,2,158,34-78,R6,CALIPER GROWTH (MM),None,None,0.8
2022,HOODOO,Woods run,2,163,34-78,R7,CALIPER GROWTH (MM),Major,Rodent,0.2
2022,HOODOO,Woods run,2,178,34-78,R8,CALIPER GROWTH (MM),None,None,2.6
2022,HOODOO,Woods run,2,183,34-78,R9,CALIPER GROWTH (MM),None,None,1.9
2022,HOODOO,Woods run,2,198,34-78,R10,CALIPER GROWTH (MM),None,None,1.2
2022,HOODOO,Woods run,2,110,3N41E36,R1,CALIPER GROWTH (MM),Major,Unhealthy,1
2022,HOODOO,Woods run,2,111,3N41E36,R2,CALIPER GROWTH (MM),Major,Unhealthy,0.8
2022,HOODOO,Woods run,2,130,3N41E36,R3,CALIPER GROWTH (MM),Major,Rodent,0.1
2022,HOODOO,Woods run,2,131,3N41E36,R4,CALIPER GROWTH (MM),Dead,Rodent,
2022,HOODOO,Woods run,2,150,3N41E36,R5,CALIPER GROWTH (MM),None,None,2
2022,HOODOO,Woods run,2,151,3N41E36,R6,CALIPER GROWTH (MM),None,None,1.7
2022,HOODOO,Woods run,2,170,3N41E36,R7,CALIPER GROWTH (MM),None,None,1.6
2022,HOODOO,Woods run,2,171,3N41E36,R8,CALIPER GROWTH (MM),None,None,1.2
2022,HOODOO,Woods run,2,190,3N41E36,R9,CALIPER GROWTH (MM),None,None,1.3
2022,HOODOO,Woods run,2,191,3N41E36,R10,CALIPER GROWTH (MM),None,None,1.3
2022,HOODOO,Woods run,2,107,97-61,R1,CALIPER GROWTH (MM),None,None,1.8
2022,HOODOO,Woods run,2,114,97-61,R2,CALIPER GROWTH (MM),None,None,1.2
2022,HOODOO,Woods run,2,127,97-61,R3,CALIPER GROWTH (MM),None,None,2.6
2022,HOODOO,Woods run,2,134,97-61,R4,CALIPER GROWTH (MM),None,None,1.2
2022,HOODOO,Woods run,2,147,97-61,R5,CALIPER GROWTH (MM),None,None,0.7
2022,HOODOO,Woods run,2,154,97-61,R6,CALIPER GROWTH (MM),None,None,1.1
2022,HOODOO,Woods run,2,167,97-61,R7,CALIPER GROWTH (MM),None,None,2
2022,HOODOO,Woods run,2,174,97-61,R8,CALIPER GROWTH (MM),None,None,2.2
2022,HOODOO,Woods run,2,187,97-61,R9,CALIPER GROWTH (MM),None,None,1
2022,HOODOO,Woods run,2,194,97-61,R10,CALIPER GROWTH (MM),None,None,1.9
2022,HOODOO,Woods run,2,108,97-72,R1,CALIPER GROWTH (MM),None,None,1.9
2022,HOODOO,Woods run,2,113,97-72,R2,CALIPER GROWTH (MM),None,None,3.2
2022,HOODOO,Woods run,2,128,97-72,R3,CALIPER GROWTH (MM),Major,Rodent,0.6
2022,HOODOO,Woods run,2,133,97-72,R4,CALIPER GROWTH (MM),Dead,Rodent,
2022,HOODOO,Woods run,2,148,97-72,R5,CALIPER GROWTH (MM),Major,Rodent,1.5
2022,HOODOO,Woods run,2,153,97-72,R6,CALIPER GROWTH (MM),Major,Rodent,1
2022,HOODOO,Woods run,2,168,97-72,R7,CALIPER GROWTH (MM),Dead,Rodent,
2022,HOODOO,Woods run,2,173,97-72,R8,CALIPER GROWTH (MM),None,None,1.9
2022,HOODOO,Woods run,2,188,97-72,R9,CALIPER GROWTH (MM),None,None,2.7
2022,HOODOO,Woods run,2,193,97-72,R10,CALIPER GROWTH (MM),Major,Rodent,1.2
2022,HOODOO,Woods run,2,109,HANGMAN,R1,CALIPER GROWTH (MM),Major,Unhealthy,1.6
2022,HOODOO,Woods run,2,112,HANGMAN,R2,CALIPER GROWTH (MM),Dead,Rodent,
2022,HOODOO,Woods run,2,129,HANGMAN,R3,CALIPER GROWTH (MM),None,None,2.7
2022,HOODOO,Woods run,2,132,HANGMAN,R4,CALIPER GROWTH (MM),Dead,Rodent,
2022,HOODOO,Woods run,2,149,HANGMAN,R5,CALIPER GROWTH (MM),Dead,Rodent,
2022,HOODOO,Woods run,2,152,HANGMAN,R6,CALIPER GROWTH (MM),Major,Rodent,0.4
2022,HOODOO,Woods run,2,169,HANGMAN,R7,CALIPER GROWTH (MM),None,None,2.5
2022,HOODOO,Woods run,2,172,HANGMAN,R8,CALIPER GROWTH (MM),None,None,1.8
2022,HOODOO,Woods run,2,189,HANGMAN,R9,CALIPER GROWTH (MM),None,None,2
2022,HOODOO,Woods run,2,192,HANGMAN,R10,CALIPER GROWTH (MM),None,None,1.4
2022,HOODOO,Woods run,2,106,S028,R1,CALIPER GROWTH (MM),None,None,1.2
2022,HOODOO,Woods run,2,115,S028,R2,CALIPER GROWTH (MM),None,None,1.7
2022,HOODOO,Woods run,2,126,S028,R3,CALIPER GROWTH (MM),None,None,2.7
2022,HOODOO,Woods run,2,135,S028,R4,CALIPER GROWTH (MM),None,None,2.5
2022,HOODOO,Woods run,2,146,S028,R5,CALIPER GROWTH (MM),None,None,2.1
2022,HOODOO,Woods run,2,155,S028,R6,CALIPER GROWTH (MM),None,None,3.1
2022,HOODOO,Woods run,2,166,S028,R7,CALIPER GROWTH (MM),Major,Rodent,0.6
2022,HOODOO,Woods run,2,175,S028,R8,CALIPER GROWTH (MM),Dead,Rodent,
2022,HOODOO,Woods run,2,186,S028,R9,CALIPER GROWTH (MM),None,None,1
2022,HOODOO,Woods run,2,195,S028,R10,CALIPER GROWTH (MM),Dead,Rodent,
2022,HOODOO,Woods run,3,206,1333,R1,CALIPER GROWTH (MM),None,None,4.4
2022,HOODOO,Woods run,3,215,1333,R2,CALIPER GROWTH (MM),None,None,3.1
2022,HOODOO,Woods run,3,226,1333,R3,CALIPER GROWTH (MM),None,None,2.1
2022,HOODOO,Woods run,3,235,1333,R4,CALIPER GROWTH (MM),None,None,2.1
2022,HOODOO,Woods run,3,246,1333,R5,CALIPER GROWTH (MM),None,None,1.8
2022,HOODOO,Woods run,3,255,1333,R6,CALIPER GROWTH (MM),None,None,4.4
2022,HOODOO,Woods run,3,266,1333,R7,CALIPER GROWTH (MM),Dead,Rodent,
2022,HOODOO,Woods run,3,275,1333,R8,CALIPER GROWTH (MM),Dead,Rodent,
2022,HOODOO,Woods run,3,286,1333,R9,CALIPER GROWTH (MM),None,None,1.6
2022,HOODOO,Woods run,3,295,1333,R10,CALIPER GROWTH (MM),None,None,0.1
2022,HOODOO,Woods run,3,207,40089,R1,CALIPER GROWTH (MM),None,None,2.6
2022,HOODOO,Woods run,3,214,40089,R2,CALIPER GROWTH (MM),None,None,1.1
2022,HOODOO,Woods run,3,227,40089,R3,CALIPER GROWTH (MM),None,None,3.1
2022,HOODOO,Woods run,3,234,40089,R4,CALIPER GROWTH (MM),None,None,2.3
2022,HOODOO,Woods run,3,247,40089,R5,CALIPER GROWTH (MM),None,None,2.1
2022,HOODOO,Woods run,3,254,40089,R6,CALIPER GROWTH (MM),Dead,Rodent,
2022,HOODOO,Woods run,3,267,40089,R7,CALIPER GROWTH (MM),Dead,Rodent,
2022,HOODOO,Woods run,3,274,40089,R8,CALIPER GROWTH (MM),None,None,1.1
2022,HOODOO,Woods run,3,287,40089,R9,CALIPER GROWTH (MM),None,None,1.7
2022,HOODOO,Woods run,3,294,40089,R10,CALIPER GROWTH (MM),None,None,2
2022,HOODOO,Woods run,3,209,2193-16,R1,CALIPER GROWTH (MM),None,None,1.7
2022,HOODOO,Woods run,3,212,2193-16,R2,CALIPER GROWTH (MM),None,None,2.1
2022,HOODOO,Woods run,3,229,2193-16,R3,CALIPER GROWTH (MM),None,None,1.1
2022,HOODOO,Woods run,3,232,2193-16,R4,CALIPER GROWTH (MM),None,None,1.4
2022,HOODOO,Woods run,3,249,2193-16,R5,CALIPER GROWTH (MM),None,None,1.7
2022,HOODOO,Woods run,3,252,2193-16,R6,CALIPER GROWTH (MM),None,None,1.6
2022,HOODOO,Woods run,3,269,2193-16,R7,CALIPER GROWTH (MM),None,None,1.3
2022,HOODOO,Woods run,3,272,2193-16,R8,CALIPER GROWTH (MM),None,None,0.4
2022,HOODOO,Woods run,3,289,2193-16,R9,CALIPER GROWTH (MM),Dead,Rodent,
2022,HOODOO,Woods run,3,292,2193-16,R10,CALIPER GROWTH (MM),None,None,0.5
2022,HOODOO,Woods run,3,210,2N39E30,R1,CALIPER GROWTH (MM),None,None,2
2022,HOODOO,Woods run,3,211,2N39E30,R2,CALIPER GROWTH (MM),None,None,3.5
2022,HOODOO,Woods run,3,230,2N39E30,R3,CALIPER GROWTH (MM),None,None,3
2022,HOODOO,Woods run,3,231,2N39E30,R4,CALIPER GROWTH (MM),None,None,1.6
2022,HOODOO,Woods run,3,250,2N39E30,R5,CALIPER GROWTH (MM),None,None,3.1
2022,HOODOO,Woods run,3,251,2N39E30,R6,CALIPER GROWTH (MM),Dead,Rodent,
2022,HOODOO,Woods run,3,270,2N39E30,R7,CALIPER GROWTH (MM),None,None,2.1
2022,HOODOO,Woods run,3,271,2N39E30,R8,CALIPER GROWTH (MM),None,None,1.5
2022,HOODOO,Woods run,3,290,2N39E30,R9,CALIPER GROWTH (MM),Major,Rodent,0.1
2022,HOODOO,Woods run,3,291,2N39E30,R10,CALIPER GROWTH (MM),Major,Rodent,0.1
2022,HOODOO,Woods run,3,205,34-78,R1,CALIPER GROWTH (MM),None,None,3.4
2022,HOODOO,Woods run,3,216,34-78,R2,CALIPER GROWTH (MM),None,None,3.9
2022,HOODOO,Woods run,3,225,34-78,R3,CALIPER GROWTH (MM),None,None,2.8
2022,HOODOO,Woods run,3,236,34-78,R4,CALIPER GROWTH (MM),Dead,Rodent,
2022,HOODOO,Woods run,3,245,34-78,R5,CALIPER GROWTH (MM),None,None,2.3
2022,HOODOO,Woods run,3,256,34-78,R6,CALIPER GROWTH (MM),None,None,2.7
2022,HOODOO,Woods run,3,265,34-78,R7,CALIPER GROWTH (MM),None,None,2.2
2022,HOODOO,Woods run,3,276,34-78,R8,CALIPER GROWTH (MM),None,None,1.7
2022,HOODOO,Woods run,3,285,34-78,R9,CALIPER GROWTH (MM),None,None,1.2
2022,HOODOO,Woods run,3,296,34-78,R10,CALIPER GROWTH (MM),None,None,0.8
2022,HOODOO,Woods run,3,204,3N41E36,R1,CALIPER GROWTH (MM),None,None,2.2
2022,HOODOO,Woods run,3,217,3N41E36,R2,CALIPER GROWTH (MM),None,None,1.5
2022,HOODOO,Woods run,3,224,3N41E36,R3,CALIPER GROWTH (MM),None,None,2.2
2022,HOODOO,Woods run,3,237,3N41E36,R4,CALIPER GROWTH (MM),None,None,1.6
2022,HOODOO,Woods run,3,244,3N41E36,R5,CALIPER GROWTH (MM),None,None,1.2
2022,HOODOO,Woods run,3,257,3N41E36,R6,CALIPER GROWTH (MM),None,None,2.6
2022,HOODOO,Woods run,3,264,3N41E36,R7,CALIPER GROWTH (MM),None,None,4.5
2022,HOODOO,Woods run,3,277,3N41E36,R8,CALIPER GROWTH (MM),None,None,3.7
2022,HOODOO,Woods run,3,284,3N41E36,R9,CALIPER GROWTH (MM),None,None,1.4
2022,HOODOO,Woods run,3,297,3N41E36,R10,CALIPER GROWTH (MM),None,None,1.5
2022,HOODOO,Woods run,3,203,97-61,R1,CALIPER GROWTH (MM),Dead,Rodent,
2022,HOODOO,Woods run,3,218,97-61,R2,CALIPER GROWTH (MM),None,None,2.5
2022,HOODOO,Woods run,3,223,97-61,R3,CALIPER GROWTH (MM),None,None,2.2
2022,HOODOO,Woods run,3,238,97-61,R4,CALIPER GROWTH (MM),None,None,2.3
2022,HOODOO,Woods run,3,243,97-61,R5,CALIPER GROWTH (MM),None,None,4.5
2022,HOODOO,Woods run,3,258,97-61,R6,CALIPER GROWTH (MM),None,None,1.8
2022,HOODOO,Woods run,3,263,97-61,R7,CALIPER GROWTH (MM),None,None,1.7
2022,HOODOO,Woods run,3,278,97-61,R8,CALIPER GROWTH (MM),None,None,0.4
2022,HOODOO,Woods run,3,283,97-61,R9,CALIPER GROWTH (MM),None,None,2.2
2022,HOODOO,Woods run,3,298,97-61,R10,CALIPER GROWTH (MM),None,None,0.8
2022,HOODOO,Woods run,3,201,97-72,R1,CALIPER GROWTH (MM),None,None,1.4
2022,HOODOO,Woods run,3,220,97-72,R2,CALIPER GROWTH (MM),Major,Rodent,1.4
2022,HOODOO,Woods run,3,221,97-72,R3,CALIPER GROWTH (MM),None,None,3
2022,HOODOO,Woods run,3,240,97-72,R4,CALIPER GROWTH (MM),None,None,2
2022,HOODOO,Woods run,3,241,97-72,R5,CALIPER GROWTH (MM),None,None,2.7
2022,HOODOO,Woods run,3,260,97-72,R6,CALIPER GROWTH (MM),None,None,2.6
2022,HOODOO,Woods run,3,261,97-72,R7,CALIPER GROWTH (MM),None,None,1.1
2022,HOODOO,Woods run,3,280,97-72,R8,CALIPER GROWTH (MM),None,None,1.9
2022,HOODOO,Woods run,3,281,97-72,R9,CALIPER GROWTH (MM),None,None,1.2
2022,HOODOO,Woods run,3,300,97-72,R10,CALIPER GROWTH (MM),None,None,3
2022,HOODOO,Woods run,3,202,HANGMAN,R1,CALIPER GROWTH (MM),None,None,1.7
2022,HOODOO,Woods run,3,219,HANGMAN,R2,CALIPER GROWTH (MM),None,None,5
2022,HOODOO,Woods run,3,222,HANGMAN,R3,CALIPER GROWTH (MM),None,None,1.8
2022,HOODOO,Woods run,3,239,HANGMAN,R4,CALIPER GROWTH (MM),None,None,1.9
2022,HOODOO,Woods run,3,242,HANGMAN,R5,CALIPER GROWTH (MM),None,None,2.7
2022,HOODOO,Woods run,3,259,HANGMAN,R6,CALIPER GROWTH (MM),None,None,4.4
2022,HOODOO,Woods run,3,262,HANGMAN,R7,CALIPER GROWTH (MM),None,None,1.9
2022,HOODOO,Woods run,3,279,HANGMAN,R8,CALIPER GROWTH (MM),None,None,3.3
2022,HOODOO,Woods run,3,282,HANGMAN,R9,CALIPER GROWTH (MM),None,None,0.9
2022,HOODOO,Woods run,3,299,HANGMAN,R10,CALIPER GROWTH (MM),None,None,2.3
2022,HOODOO,Woods run,3,208,S028,R1,CALIPER GROWTH (MM),None,None,2.3
